lemma,log_ratio,g_squared,p_value,p_value_fdr,register,relative_frequency
ἀκοίτης,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἀντάξιος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἐπίουρος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἀκιδνός,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
κυδρός,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
καταθύμιος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἀκήριος,1.3052203760387693,4.516298989474958,0.033573382911734465,0.180060652731698,Speech,7.507437054832444e-05
ἐπαρήγω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἐπαρτής,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἐπιβήτωρ,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἀθερίζω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἀεσίφρων,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἀντιβίην,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
Ἀμφιτρύων,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἐπιχρίω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
μακαρίζω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἀπόπροθεν,1.3052203760387693,4.516298989474958,0.033573382911734465,0.180060652731698,Speech,7.507437054832444e-05
νῆστις,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ὄκνος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἄιστος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
κήδιστος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ἄθαπτος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
πορθέω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
καθίημι,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ὄργυια,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
οἰνοβαρείων,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
πολύρρηνος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
οἰνοποτάζω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
πολύκλυστος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
πολύδενδρος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
Λυκοῦργος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
πολύφορβος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
πολυμνήστη,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
Οἰνεύς,1.3052203760387693,4.516298989474958,0.033573382911734465,0.180060652731698,Speech,7.507437054832444e-05
προτεύχω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
μάσταξ,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
πυλάρτης,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
νεῖκος,1.3052203760387693,14.202872091102606,0.00016411982151903005,0.0035222960674479585,Speech,0.0003566032601045411
Σειρήν,1.3052203760387693,4.516298989474958,0.033573382911734465,0.180060652731698,Speech,7.507437054832444e-05
καθίστημι,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
Σίσυφος,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
προτέμνω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
νοήμων,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
ὀρφανικός,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
πρόφρασσα,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
νομεύω,1.3052203760387693,3.883813253598524,0.04875370677547618,0.21452140957221816,Speech,2.8152888955621663e-05
πρόμος,1.3052203760387693,4.516298989474958,0.033573382911734465,0.180060652731698,Speech,7.507437054832444e-05
ὀχέω,1.3052203760387693,4.516298989474958,0.033573382911734465,0.180060652731698,Speech,7.507437054832444e-05
παρέρχομαι,1.3052203760387693,4.516298989474958,0.033573382911734465,0.180060652731698,Speech,7.507437054832444e-05
