lemma,Odyssey
Ὀδυσσεύς,0.022151697873690892
Τηλέμαχος,0.010092034274833387
χείρ,0.008822596001269438
Ἀθήνη,0.008378292605522057
δῖος,0.007489685814027293
ἔπος,0.0073627419866708985
βαίνω,0.007235798159314503
πρόσφημι,0.006791494763567121
μνηστήρ,0.006283719454141542
ἔρχομαι,0.006156775626785148
θυμός,0.005712472231037766
υἱός,0.005585528403681371
φίλος,0.0055220564900031735
τίθημι,0.0055220564900031735
προσεῖπον,0.005268168835290384
ἀνήρ,0.005268168835290384
μῦθος,0.005204696921612187
μέγαρον,0.0050777530942557915
ἵστημι,0.004950809266899397
μέγας,0.0048873373532212
φωνέω,0.004569977784830212
ἀπαμείβομαι,0.004443033957473818
δῶμα,0.004443033957473818
ἀντίος,0.004252618216439226
φέρω,0.004252618216439226
ναῦς,0.004125674389082831
καλός,0.004125674389082831
εἶδον,0.004125674389082831
πολύμητις,0.004062202475404633
αἱρέω,0.004062202475404633
προσαυδάω,0.003935258648048239
θεός,0.0038717867343700412
θεά,0.003808314820691844
αὐδάω,0.0035544271659790545
βάλλω,0.003490955252300857
γυνή,0.0034274833386226593
πέπνυμαι,0.0033005395112662645
Πηνελόπεια,0.0032370675975880673
γλαυκῶπις,0.0032370675975880673
φρήν,0.0031101237702316725
πτερόεις,0.003046651856553475
Ζεύς,0.003046651856553475
Ἀλκίνοος,0.0029831799428752777
δόμος,0.00291970802919708
πούς,0.0027927642018406853
άτος,0.0027927642018406853
πατήρ,0.0027927642018406853
ἀμφίπολος,0.0023484608060933038
Ἀντίνοος,0.0023484608060933038
περίφρων,0.002284988892415106
πολύτλας,0.002284988892415106
κεφαλή,0.002221516978736909
κόρη,0.002221516978736909
συβώτης,0.002221516978736909
κῆρυξ,0.0021580450650587114
οἶνος,0.0021580450650587114
ἱκνέομαι,0.0021580450650587114
ἵημι,0.0021580450650587114
δάκρυον,0.002094573151380514
δίδωμι,0.002094573151380514
βοῦς,0.0020311012377023166
Μενέλαος,0.0019676293240241194
ἀγορεύω,0.0019676293240241194
χρύσεος,0.0019676293240241194
οὐδός,0.0019676293240241194
ἐλαύνω,0.001904157410345922
θάλαμος,0.001904157410345922
ἄναξ,0.001904157410345922
θύρα,0.001904157410345922
θρόνος,0.001904157410345922
ἠέλιος,0.001904157410345922
κατός,0.0018406854966677246
μετεῖπον,0.0018406854966677246
πόσις,0.0018406854966677246
ἀήʼ,0.0017772135829895272
ἑταῖρος,0.0017772135829895272
νοέω,0.0017137416693113296
πόλις,0.0017137416693113296
λύω,0.0017137416693113296
πῦρ,0.0017137416693113296
γέρων,0.0017137416693113296
θεῖος,0.0017137416693113296
χέω,0.0017137416693113296
ἔγχος,0.0017137416693113296
ὕπνος,0.0017137416693113296
γαῖα,0.0017137416693113296
ὦμος,0.0016502697556331322
κῦμα,0.0016502697556331322
ἔπειτʼ,0.0015867978419549348
Νέστωρ,0.0015867978419549348
ἠώς,0.0015867978419549348
κελεύω,0.0015867978419549348
πρῶτος,0.0015867978419549348
χαλκός,0.0015867978419549348
φαίνω,0.0015867978419549348
Εὔμαιος,0.0015867978419549348
κεῖμαι,0.0015867978419549348
μένος,0.0015233259282767374
ἕζομαι,0.0015233259282767374
ἠμείβειβος,0.0015233259282767374
