line_urn,heat
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:79,-19.718555404105018
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:80,-67.56241004191946
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:81,-5.877880053509789
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:82,-141.34166347398266
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:83,-46.25729342126064
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:84,-243.80614151513646
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:85,-187.32858040423315
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:86,-36.404771675530384
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:87,-33.091080153952525
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:88,4.3246803732326144
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:89,-159.45641242767692
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:90,-67.00177709806628
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:91,-403.2775425355561
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:92,-41.15787574884034
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:93,-395.1094738289335
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:94,-166.909927836816
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:95,-436.8720657701595
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:96,-47.09088426229637
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:97,17.0888334406469
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:98,-1.1212658877063533
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:99,-209.46643104960367
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:100,-11.067871099491052
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:101,-2.2425317754127065
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:102,44.56797085022864
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:103,-21.939302330531547
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:104,3.358956234999671
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:105,-22.343588614380547
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:106,-12.859557705162613
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:107,-151.34529174494483
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:108,196.63722792123886
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:109,3.9914462645953326
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:110,-94.49375751793261
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:111,-31.719159136713735
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:112,-9.593082069751459
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:113,-56.0382959020488
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:114,-31.51731788084503
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:115,-3.600024397960191
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:116,-7.563810469979729
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:117,1.5380527269548638
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:118,-33.39644744464727
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:119,-54.793310066448655
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:120,-15.06575329156963
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:121,-0.8695924009940577
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:122,-20.878018176201785
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:123,-3.363797663119059
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:124,10.946687351653075
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:125,-3.577394219396076
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:126,-17.940254203301652
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:127,-1.1212658877063533
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:128,9.234474993042873
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:129,-12.246442783284609
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:130,-4.395135229821288
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:131,-32.60562940263806
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:132,-36.72243803922541
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:134,10.253161536238915
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:135,-2.803164719265883
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:136,-75.2051541749499
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:137,-7.449147325366762
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:138,-21.887191619795548
urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:139,-5.888317811879082
